type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,2.0_Precision,2.0_Recall,2.0_F1-Score,3.0_Precision,3.0_Recall,3.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,SUT,0.57166392092257,0.4737840306802357,0.15743824999941886,0.35973597359735976,0.6228571428571429,0.4560669456066946,0.7828947368421053,0.5509259259259259,0.6467391304347826,0.5713153552197325,0.5868915343915344,0.5514030380207386,0.6608967408489743,0.57166392092257,0.5917677427166353
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,logistic_regression,SUT,0.3319604612850082,0.3610463868754492,0.10668350092941487,0.3003472222222222,0.9857549857549858,0.46041250831669994,0.9193548387096774,0.0660486674391657,0.12324324324324323,0.6098510304659498,0.5259018265970757,0.2918278757799716,0.7403831143380986,0.3319604612850082,0.22072793190945683
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,SUT,0.5815485996705108,0.4808950440976671,0.16548210020670176,0.3656462585034014,0.6142857142857143,0.45842217484008535,0.7843450479233227,0.5682870370370371,0.6590604026845638,0.574995653213362,0.5912863756613758,0.5587412887623245,0.6636328763442679,0.5815485996705108,0.6012157735695989
test_metrics,PolygenicScoreEXT_x_SchoolConnect,logistic_regression,SUT,0.32948929159802304,0.3579445435575149,0.1018909136987899,0.2995670995670996,0.9857549857549858,0.45949535192563085,0.9152542372881356,0.06257242178447277,0.11713665943600868,0.6074106684276176,0.5241637037697293,0.2883160056808198,0.7372425524939975,0.32948929159802304,0.21612175092188793
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,SUT,0.5799011532125206,0.4786917688842145,0.16184335234126188,0.36394557823129253,0.6114285714285714,0.4562899786780384,0.7827476038338658,0.5671296296296297,0.6577181208053691,0.5733465910325791,0.5892791005291005,0.5570040497417037,0.662005668940208,0.5799011532125206,0.599645756930109
test_metrics,PolygenicScoreEXT_x_NeighborConnect,logistic_regression,SUT,0.33607907742998355,0.3633721043802965,0.10947096745088401,0.30131004366812225,0.9829059829059829,0.4612299465240641,0.9130434782608695,0.07300115874855156,0.1351931330472103,0.6071767609644959,0.5279535708272672,0.2982115397856372,0.7361749152114014,0.33607907742998355,0.22945913101292342
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,SUT,0.5733113673805601,0.4725888040388451,0.1534008512372756,0.35906040268456374,0.6114285714285714,0.452431289640592,0.7799352750809061,0.5578703703703703,0.650472334682861,0.569497838882735,0.584649470899471,0.5514518121617265,0.6585957319682868,0.5733113673805601,0.5933764814993403
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,logistic_regression,SUT,0.3385502471169687,0.3663446589339047,0.1139789423360719,0.3021015761821366,0.9829059829059829,0.46215673141326186,0.9166666666666666,0.07647740440324449,0.1411764705882353,0.6093841214244016,0.5296916936546137,0.3016666010007486,0.7389793958593601,0.3385502471169687,0.2339804833967891
validation_metrics,PolygenicScoreEXT_x_AntisocialTrajectory,logistic_regression,SUT,0.5790774299835255,0.4792820896824703,0.16383881880051648,0.3642495784148398,0.6171428571428571,0.45811240721102864,0.784219001610306,0.5636574074074074,0.655892255892256,0.5742342900125729,0.5904001322751322,0.5570023315516424,0.6631405023364895,0.5790774299835255,0.5988717064372069
test_metrics,PolygenicScoreEXT_x_AntisocialTrajectory,logistic_regression,SUT,0.3385502471169687,0.3638472410727629,0.10932381898846275,0.3017543859649123,0.98005698005698,0.4614352783366868,0.9054054054054054,0.0776361529548088,0.14300960512273211,0.6035798956851588,0.5288465665058945,0.30222244172970947,0.7308736856165972,0.3385502471169687,0.2350750180536202
